,Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Has_Score,Has_Rating,Age,Grouped_Publisher
1763,Open Season,Wii,Platform,Ubisoft,0.06,0.0,0.0,0.01,0.07,49.0,5.0,56.0,7.0,E10+,True,True,15.0,Très grand
1764,TrackMania Turbo,XOne,Action,Ubisoft,0.03,0.04,0.0,0.01,0.07,76.0,12.0,77.0,27.0,E,True,True,5.0,Très grand
1765,Batman: Rise of Sin Tzu,GBA,Action,Ubisoft,0.05,0.02,0.0,0.0,0.07,63.0,12.0,68.0,4.0,E,True,True,18.0,Très grand
1766,Prince of Persia: The Fallen King,DS,Action,Ubisoft,0.06,0.0,0.0,0.0,0.07,64.0,24.0,60.0,9.0,E,True,True,13.0,Très grand
1767,187: Ride or Die,X,Racing,Ubisoft,0.05,0.01,0.0,0.0,0.06,51.0,40.0,69.0,8.0,M,True,True,16.0,Très grand
1768,Tom Clancys Splinter Cell: Pandora Tomorrow,GBA,Action,Ubisoft,0.05,0.02,0.0,0.0,0.06,68.0,19.0,62.0,6.0,T,True,True,17.0,Très grand
1769,Cold Fear,X,Action,Ubisoft,0.05,0.01,0.0,0.0,0.06,71.0,41.0,76.0,20.0,M,True,True,16.0,Très grand
1770,Flipnic: Ultimate Pinball,PS2,Misc,Ubisoft,0.03,0.02,0.0,0.01,0.06,64.0,28.0,81.0,12.0,E,True,True,18.0,Très grand
1771,Star Trek: Tactical Assault,DS,Strategy,Ubisoft,0.05,0.01,0.0,0.0,0.06,63.0,15.0,70.0,10.0,E,True,True,15.0,Très grand
1772,Tom Clancys Ghost Recon: Advanced Warfighter,PS2,Shooter,Ubisoft,0.03,0.02,0.0,0.01,0.06,44.0,8.0,46.0,41.0,T,True,True,15.0,Très grand
1773,Tom Clancys Splinter Cell: Double Agent,GC,Action,Ubisoft,0.04,0.01,0.0,0.0,0.06,64.0,8.0,71.0,7.0,M,True,True,15.0,Très grand
1774,Rugby World Cup 2015,PS4,Sports,Ubisoft,0.0,0.05,0.0,0.01,0.06,25.0,6.0,19.0,40.0,E,True,True,6.0,Très grand
1775,Tom Clancys Rainbow Six: Critical Hour,X,Shooter,Ubisoft,0.04,0.01,0.0,0.0,0.06,54.0,10.0,36.0,14.0,M,True,True,17.0,Très grand
1776,Tom Clancys Rainbow Six 3,GC,Shooter,Ubisoft,0.04,0.01,0.0,0.0,0.06,68.0,25.0,82.0,5.0,M,True,True,17.0,Très grand
1777,Medabots: Infinity,GC,Role-Playing,Ubisoft,0.04,0.01,0.0,0.0,0.05,51.0,6.0,80.0,7.0,E,True,True,18.0,Très grand
1778,IL-2 Sturmovik: Cliffs of Dover,PC,Simulation,Ubisoft,0.0,0.04,0.0,0.01,0.05,60.0,13.0,71.0,114.0,T,True,True,10.0,Très grand
1779,Tom Clancys HAWX 2,PC,Action,Ubisoft,0.0,0.04,0.0,0.01,0.05,66.0,12.0,38.0,47.0,T,True,True,11.0,Très grand
1780,Tom Clancys Rainbow Six: Lockdown,GC,Shooter,Ubisoft,0.04,0.01,0.0,0.0,0.05,72.0,8.0,78.0,5.0,M,True,True,16.0,Très grand
1781,Silent Hunter: Wolves of the Pacific,PC,Simulation,Ubisoft,0.0,0.04,0.0,0.01,0.05,79.0,22.0,70.0,41.0,T,True,True,14.0,Très grand
1782,Assassins Creed: Altairs Chronicles,DS,Platform,Ubisoft,0.03,0.01,0.0,0.0,0.05,58.0,30.0,62.0,31.0,T,True,True,13.0,Très grand
1783,Disney's Donald Duck: Goin Quackers,GC,Platform,Ubisoft,0.03,0.01,0.0,0.0,0.04,61.0,7.0,30.0,4.0,E,True,True,19.0,Très grand
1784,Tom Clancys HAWX,PC,Action,Ubisoft,0.0,0.03,0.0,0.01,0.04,70.0,23.0,73.0,125.0,T,True,True,12.0,Très grand
1785,WarTech: Senko no Ronde,X360,Fighting,Ubisoft,0.04,0.0,0.0,0.0,0.04,60.0,33.0,61.0,7.0,T,True,True,15.0,Très grand
1786,IL-2 Sturmovik: 1946,PC,Simulation,Ubisoft,0.0,0.04,0.0,0.01,0.04,86.0,9.0,88.0,115.0,T,True,True,15.0,Très grand
1787,Gravity Falls: Legend of the Gnome Gemulets,3DS,Action,Ubisoft,0.03,0.0,0.0,0.0,0.04,46.0,4.0,58.0,10.0,E,True,True,6.0,Très grand
1788,Surfs Up,PS3,Sports,Ubisoft,0.03,0.0,0.0,0.0,0.04,59.0,8.0,51.0,7.0,E10+,True,True,14.0,Très grand
1789,CSI: Fatal Conspiracy,PC,Adventure,Ubisoft,0.0,0.03,0.0,0.01,0.04,47.0,5.0,55.0,6.0,M,True,True,11.0,Très grand
1790,Brothers In Arms DS,DS,Shooter,Ubisoft,0.03,0.0,0.0,0.0,0.04,72.0,27.0,80.0,25.0,T,True,True,14.0,Très grand
1791,TMNT,DS,Action,Ubisoft,0.03,0.01,0.0,0.0,0.04,42.0,10.0,18.0,6.0,E10+,True,True,14.0,Très grand
1792,Assassins Creed Chronicles: China,PS4,Action,Ubisoft,0.0,0.03,0.0,0.01,0.04,69.0,44.0,64.0,84.0,T,True,True,6.0,Très grand
1793,DarkStar One,PC,Simulation,Ubisoft,0.0,0.03,0.0,0.01,0.03,71.0,33.0,72.0,55.0,T,True,True,15.0,Très grand
1794,The Sum of All Fears,GC,Shooter,Ubisoft,0.03,0.01,0.0,0.0,0.03,36.0,11.0,34.0,5.0,T,True,True,18.0,Très grand
1795,Call of Juarez: Bound in Blood,PC,Shooter,Ubisoft,0.0,0.03,0.0,0.0,0.03,78.0,39.0,80.0,283.0,M,True,True,12.0,Très grand
1796,Prince of Persia: The Forgotten Sands,PC,Action,Ubisoft,0.0,0.03,0.0,0.0,0.03,75.0,16.0,66.0,220.0,T,True,True,11.0,Très grand
1797,Astonishia Story,PSP,Role-Playing,Ubisoft,0.03,0.0,0.0,0.0,0.03,48.0,35.0,49.0,18.0,E10+,True,True,15.0,Très grand
1798,Trials Fusion,PC,Racing,Ubisoft,0.0,0.03,0.0,0.0,0.03,80.0,12.0,68.0,97.0,E10+,True,True,7.0,Très grand
1799,Sunny Garcia Surfing,PS2,Sports,Ubisoft,0.02,0.01,0.0,0.0,0.03,61.0,11.0,79.0,7.0,E,True,True,20.0,Très grand
1800,Rabbids Land,WiiU,Misc,Ubisoft,0.01,0.01,0.0,0.0,0.03,52.0,26.0,52.0,29.0,E10+,True,True,9.0,Très grand
1801,Rayman 3: Hoodlum Havoc,PC,Platform,Ubisoft,0.0,0.03,0.0,0.0,0.03,74.0,8.0,83.0,70.0,E,True,True,18.0,Très grand
1802,Resident Evil 4,PC,Action,Ubisoft,0.0,0.02,0.0,0.0,0.03,76.0,15.0,74.0,246.0,M,True,True,14.0,Très grand
1803,Syberia II,X,Adventure,Ubisoft,0.02,0.01,0.0,0.0,0.03,71.0,7.0,87.0,6.0,T,True,True,17.0,Très grand
1804,Star Trek: Tactical Assault,PSP,Strategy,Ubisoft,0.02,0.0,0.0,0.0,0.03,64.0,15.0,79.0,10.0,E,True,True,15.0,Très grand
1805,Driver: Parallel Lines,Wii,Racing,Ubisoft,0.01,0.01,0.0,0.0,0.03,59.0,9.0,60.0,20.0,M,True,True,14.0,Très grand
1806,Blazing Angels: Squadrons of WWII,PC,Simulation,Ubisoft,0.02,0.0,0.0,0.0,0.03,65.0,16.0,46.0,17.0,T,True,True,15.0,Très grand
1807,IL-2 Sturmovik: Forgotten Battles,PC,Simulation,Ubisoft,0.0,0.02,0.0,0.0,0.02,86.0,12.0,86.0,39.0,T,True,True,18.0,Très grand
1808,The Settlers: Rise of an Empire,PC,Strategy,Ubisoft,0.01,0.01,0.0,0.0,0.02,66.0,19.0,77.0,44.0,E10+,True,True,14.0,Très grand
1809,Tom Clancys Rainbow Six: Vegas 2,PC,Shooter,Ubisoft,0.0,0.02,0.0,0.0,0.02,78.0,20.0,73.0,185.0,M,True,True,13.0,Très grand
1810,Brothers in Arms: Hells Highway,PC,Shooter,Ubisoft,0.0,0.02,0.0,0.0,0.02,79.0,22.0,79.0,131.0,M,True,True,13.0,Très grand
1811,Tom Clancys EndWar,PC,Strategy,Ubisoft,0.0,0.02,0.0,0.0,0.02,68.0,24.0,67.0,42.0,T,True,True,12.0,Très grand
1812,Greys Anatomy: The Video Game,PC,Adventure,Ubisoft,0.0,0.02,0.0,0.0,0.02,36.0,4.0,39.0,20.0,T,True,True,12.0,Très grand
1813,Just Sing,PS4,Misc,Ubisoft,0.02,0.0,0.0,0.0,0.02,60.0,5.0,70.0,7.0,E10+,True,True,5.0,Très grand
1814,Tom Clancys Splinter Cell Classic Trilogy HD,PS3,Action,Ubisoft,0.02,0.0,0.0,0.0,0.02,67.0,21.0,68.0,29.0,M,True,True,10.0,Très grand
1815,The Crew: Wild Run,XOne,Action,Ubisoft,0.0,0.02,0.0,0.0,0.02,65.0,5.0,66.0,21.0,T,True,True,6.0,Très grand
1816,Charlies Angels,GC,Action,Ubisoft,0.01,0.0,0.0,0.0,0.02,23.0,21.0,33.0,23.0,T,True,True,18.0,Très grand
1817,Marvel Avengers: Battle for Earth,X360,Action,Ubisoft,0.02,0.0,0.0,0.0,0.02,62.0,11.0,73.0,12.0,T,True,True,9.0,Très grand
1818,The Crew: Wild Run,PC,Action,Ubisoft,0.0,0.02,0.0,0.0,0.02,74.0,6.0,74.0,41.0,T,True,True,6.0,Très grand
1819,Uru: Ages Beyond Myst,PC,Adventure,Ubisoft,0.0,0.02,0.0,0.0,0.02,79.0,22.0,75.0,30.0,E,True,True,18.0,Très grand
1820,Lost: Via Domus,PC,Action,Ubisoft,0.0,0.01,0.0,0.0,0.02,52.0,22.0,60.0,38.0,T,True,True,13.0,Très grand
1821,Star Trek: Legacy,PC,Simulation,Ubisoft,0.0,0.01,0.0,0.0,0.02,56.0,25.0,40.0,35.0,E10+,True,True,15.0,Très grand
1822,Call of Juarez,PC,Shooter,Ubisoft,0.0,0.01,0.0,0.0,0.01,72.0,25.0,78.0,224.0,M,True,True,15.0,Très grand
1823,Rayman Raving Rabbids,PC,Misc,Ubisoft,0.0,0.01,0.0,0.0,0.01,58.0,6.0,77.0,32.0,E,True,True,15.0,Très grand
1824,TrackMania Turbo,PC,Action,Ubisoft,0.0,0.01,0.0,0.0,0.01,79.0,13.0,68.0,43.0,E,True,True,5.0,Très grand
1825,Werewolves Within,PS4,Misc,Ubisoft,0.01,0.0,0.0,0.0,0.01,75.0,13.0,70.0,18.0,E,True,True,5.0,Très grand
1826,Tom Clancys Ghost Recon Advanced Warfighter 2,PC,Shooter,Ubisoft,0.0,0.01,0.0,0.0,0.01,76.0,24.0,72.0,66.0,T,True,True,14.0,Très grand
1827,MetropolisMania 2,PS2,Strategy,Ubisoft,0.0,0.0,0.0,0.0,0.01,37.0,4.0,63.0,4.0,E10+,True,True,15.0,Très grand
1828,City Racer,GC,Racing,Ubisoft,0.01,0.0,0.0,0.0,0.01,58.0,4.0,63.0,4.0,E,True,True,18.0,Très grand
1829,Tetris Ultimate ,3DS,Puzzle,Ubisoft,0.0,0.01,0.0,0.0,0.01,68.0,12.0,43.0,14.0,E,True,True,7.0,Très grand
1830,The Mighty Quest for Epic Loot,PC,Role-Playing,Ubisoft,0.0,0.0,0.0,0.0,0.01,64.0,9.0,55.0,95.0,T,True,True,8.0,Très grand
1831,Dawn of Discovery: Venice,PC,Simulation,Ubisoft,0.0,0.0,0.0,0.0,0.01,78.0,16.0,83.0,15.0,T,True,True,11.0,Très grand
1832,Tom Clancys Splinter Cell,PC,Action,Ubisoft,0.0,0.0,0.0,0.0,0.01,91.0,20.0,85.0,291.0,T,True,True,18.0,Très grand
1833,Ace Combat 5: The Unsung War,PS2,Simulation,Sony Computer Entertainment Europe,0.88,0.34,0.32,0.18,1.71,84.0,57.0,91.0,81.0,T,True,True,17.0,Très petit
1834,Puppeteer,PS3,Platform,Sony Computer Entertainment Europe,0.11,0.08,0.02,0.04,0.26,80.0,75.0,85.0,238.0,E10+,True,True,8.0,Très petit
1835,Sly Cooper: Thieves in Time,PSV,Platform,Sony Computer Entertainment Europe,0.13,0.06,0.0,0.06,0.25,75.0,15.0,82.0,148.0,E10+,True,True,8.0,Très petit
1836,Star Wars Battlefront: Renegade Squadron,PSP,Shooter,LucasArts,0.9,0.46,0.0,0.32,1.67,73.0,35.0,79.0,46.0,T,True,True,14.0,Moyen
1837,Star Wars: The Force Unleashed II,PS3,Action,LucasArts,0.8,0.49,0.0,0.21,1.5,63.0,41.0,68.0,122.0,T,True,True,11.0,Moyen
1838,LEGO Star Wars III: The Clone Wars,X360,Action,LucasArts,0.84,0.51,0.0,0.13,1.48,75.0,43.0,78.0,42.0,E10+,True,True,10.0,Moyen
1839,Star Wars: The Force Unleashed II,X360,Action,LucasArts,0.95,0.37,0.0,0.11,1.44,61.0,59.0,58.0,181.0,T,True,True,11.0,Moyen
1840,LEGO Star Wars II: The Original Trilogy,PSP,Action,LucasArts,0.58,0.51,0.0,0.32,1.4,83.0,11.0,86.0,26.0,E10+,True,True,15.0,Moyen
1841,LEGO Indiana Jones: The Original Adventures,PS2,Action,LucasArts,0.6,0.01,0.0,0.76,1.37,77.0,12.0,84.0,16.0,E10+,True,True,13.0,Moyen
1842,Star Wars: The Force Unleashed,PS2,Action,LucasArts,0.49,0.0,0.01,0.75,1.25,68.0,7.0,74.0,34.0,T,True,True,13.0,Moyen
1843,LEGO Indiana Jones: The Original Adventures,PSP,Action,LucasArts,0.4,0.48,0.0,0.29,1.17,76.0,8.0,76.0,11.0,E10+,True,True,13.0,Moyen
1844,LEGO Star Wars III: The Clone Wars,PS3,Action,LucasArts,0.52,0.46,0.0,0.19,1.16,76.0,36.0,73.0,34.0,E10+,True,True,10.0,Moyen
1845,LEGO Star Wars III: The Clone Wars,3DS,Action,LucasArts,0.61,0.43,0.0,0.09,1.13,67.0,25.0,61.0,31.0,E10+,True,True,10.0,Moyen
1846,Star Wars: Bounty Hunter,PS2,Shooter,LucasArts,0.53,0.42,0.0,0.14,1.09,65.0,32.0,83.0,33.0,T,True,True,19.0,Moyen
1847,Star Wars: The Force Unleashed,PSP,Action,LucasArts,0.43,0.4,0.0,0.24,1.08,70.0,10.0,81.0,49.0,T,True,True,13.0,Moyen
1848,LEGO Star Wars II: The Original Trilogy,DS,Action,LucasArts,0.96,0.03,0.0,0.08,1.07,47.0,9.0,50.0,38.0,E,True,True,15.0,Moyen
1849,LEGO Star Wars II: The Original Trilogy,GC,Action,LucasArts,0.75,0.19,0.0,0.03,0.97,84.0,25.0,91.0,16.0,E10+,True,True,15.0,Moyen
1850,Star Wars: The Force Unleashed,DS,Action,LucasArts,0.5,0.28,0.0,0.09,0.88,61.0,8.0,55.0,18.0,T,True,True,13.0,Moyen
1851,Star Wars Rogue Squadron III: Rebel Strike,GC,Simulation,LucasArts,0.62,0.16,0.0,0.02,0.8,75.0,36.0,76.0,51.0,T,True,True,18.0,Moyen
1852,Star Wars The Clone Wars: Republic Heroes,Wii,Action,LucasArts,0.43,0.29,0.0,0.07,0.79,48.0,10.0,64.0,5.0,T,True,True,12.0,Moyen
1853,Star Wars The Clone Wars: Jedi Alliance,DS,Action,LucasArts,0.61,0.11,0.0,0.06,0.78,68.0,10.0,78.0,32.0,E10+,True,True,13.0,Moyen
1854,Star Wars: The Force Unleashed II,Wii,Action,LucasArts,0.52,0.18,0.0,0.06,0.76,71.0,10.0,78.0,31.0,T,True,True,11.0,Moyen
1855,Star Wars Battlefront: Elite Squadron,PSP,Shooter,LucasArts,0.38,0.23,0.0,0.15,0.76,63.0,25.0,80.0,41.0,T,True,True,12.0,Moyen
1856,LEGO Star Wars II: The Original Trilogy,X360,Action,LucasArts,0.55,0.03,0.0,0.05,0.63,81.0,50.0,80.0,45.0,E10+,True,True,15.0,Moyen
1857,Star Wars Battlefront: Elite Squadron,DS,Shooter,LucasArts,0.42,0.03,0.0,0.04,0.49,61.0,12.0,50.0,8.0,E10+,True,True,12.0,Moyen
1858,Secret Weapons Over Normandy,PS2,Simulation,LucasArts,0.24,0.18,0.0,0.06,0.48,81.0,26.0,82.0,19.0,T,True,True,18.0,Moyen
1859,LEGO Star Wars II: The Original Trilogy,X,Action,LucasArts,0.33,0.1,0.0,0.02,0.44,85.0,27.0,86.0,15.0,E10+,True,True,15.0,Moyen
1860,Thrillville: Off the Rails,Wii,Strategy,LucasArts,0.38,0.02,0.0,0.03,0.44,70.0,14.0,28.0,40.0,E10+,True,True,14.0,Moyen
1861,Star Wars The Clone Wars: Republic Heroes,PS3,Action,LucasArts,0.19,0.18,0.0,0.07,0.43,43.0,22.0,53.0,16.0,T,True,True,12.0,Moyen
1862,Thrillville: Off the Rails,PS2,Strategy,LucasArts,0.2,0.16,0.0,0.05,0.42,70.0,11.0,17.0,30.0,E10+,True,True,14.0,Moyen
1863,Star Wars The Clone Wars: Republic Heroes,X360,Action,LucasArts,0.18,0.17,0.0,0.04,0.39,43.0,37.0,63.0,19.0,T,True,True,12.0,Moyen
1864,Fracture,X360,Shooter,LucasArts,0.15,0.14,0.0,0.04,0.33,63.0,60.0,62.0,45.0,T,True,True,13.0,Moyen
1865,Star Wars Racer Revenge,PS2,Racing,LucasArts,0.15,0.12,0.0,0.04,0.31,73.0,34.0,85.0,11.0,E,True,True,19.0,Moyen
1866,Star Wars: Bounty Hunter,GC,Shooter,LucasArts,0.2,0.05,0.0,0.01,0.26,67.0,20.0,76.0,16.0,T,True,True,19.0,Moyen
1867,Secret Weapons Over Normandy,X,Simulation,LucasArts,0.19,0.05,0.0,0.01,0.25,77.0,31.0,88.0,4.0,T,True,True,18.0,Moyen
1868,LEGO Star Wars III: The Clone Wars,PC,Action,LucasArts,0.1,0.13,0.0,0.03,0.25,76.0,14.0,75.0,44.0,E10+,True,True,10.0,Moyen
1869,Star Wars: The Force Unleashed II,DS,Action,LucasArts,0.17,0.03,0.0,0.02,0.22,43.0,5.0,40.0,5.0,T,True,True,11.0,Moyen
1870,Indiana Jones and the Emperors Tom,X,Action,LucasArts,0.14,0.04,0.0,0.01,0.18,73.0,43.0,86.0,17.0,T,True,True,18.0,Moyen
1871,Star Wars: Super Bombad Racing,PS2,Racing,LucasArts,0.08,0.06,0.0,0.02,0.16,71.0,21.0,49.0,8.0,E,True,True,20.0,Moyen
1872,Thrillville: Off the Rails,X360,Strategy,LucasArts,0.13,0.02,0.0,0.01,0.16,73.0,24.0,28.0,34.0,E10+,True,True,14.0,Moyen
1873,Fracture,PS3,Shooter,LucasArts,0.11,0.04,0.0,0.02,0.16,62.0,40.0,58.0,18.0,T,True,True,13.0,Moyen
1874,Armed and Dangerous,X,Shooter,LucasArts,0.09,0.03,0.0,0.0,0.13,79.0,41.0,72.0,15.0,T,True,True,18.0,Moyen
1875,Escape From Monkey Island,PS2,Adventure,LucasArts,0.05,0.04,0.0,0.01,0.1,84.0,21.0,83.0,12.0,T,True,True,20.0,Moyen
1876,Thrillville: Off the Rails,PSP,Strategy,LucasArts,0.09,0.0,0.0,0.01,0.1,72.0,7.0,6.0,24.0,E10+,True,True,14.0,Moyen
1877,LEGO Star Wars II: The Original Trilogy,GBA,Action,LucasArts,0.06,0.02,0.0,0.0,0.09,55.0,5.0,70.0,6.0,E,True,True,15.0,Moyen
1878,Star Wars: Empire at War,PC,Strategy,LucasArts,0.01,0.06,0.0,0.01,0.08,79.0,45.0,84.0,241.0,T,True,True,15.0,Moyen
1879,RTX Red Rock,PS2,Shooter,LucasArts,0.04,0.03,0.0,0.01,0.08,49.0,23.0,50.0,4.0,T,True,True,18.0,Moyen
1880,Wrath Unleashed,PS2,Strategy,LucasArts,0.04,0.03,0.0,0.01,0.07,64.0,25.0,60.0,6.0,T,True,True,17.0,Moyen
1881,Star Wars: Republic Commando,PC,Shooter,LucasArts,0.0,0.04,0.0,0.01,0.05,78.0,34.0,87.0,279.0,T,True,True,16.0,Moyen
1882,Wrath Unleashed,X,Strategy,LucasArts,0.03,0.01,0.0,0.0,0.05,69.0,32.0,70.0,4.0,T,True,True,17.0,Moyen
1883,Thrillville: Off the Rails,DS,Strategy,LucasArts,0.03,0.01,0.0,0.0,0.04,59.0,6.0,62.0,5.0,E,True,True,14.0,Moyen
1884,LEGO Indiana Jones: The Original Adventures,PC,Action,LucasArts,0.02,0.02,0.0,0.0,0.04,78.0,14.0,77.0,35.0,E10+,True,True,13.0,Moyen
1885,Star Wars: The Force Unleashed II,PC,Action,LucasArts,0.03,0.0,0.0,0.0,0.03,59.0,14.0,58.0,164.0,T,True,True,11.0,Moyen
1886,Star Wars The Clone Wars: Republic Heroes,PC,Action,LucasArts,0.0,0.02,0.0,0.0,0.03,46.0,9.0,47.0,46.0,T,True,True,12.0,Moyen
1887,Star Wars: Empire at War - Forces of Corruption,PC,Strategy,LucasArts,0.0,0.02,0.0,0.0,0.02,75.0,25.0,87.0,80.0,T,True,True,15.0,Moyen
1888,SSX 3,PS2,Sports,Electronic Arts,0.93,0.52,0.0,0.22,1.67,93.0,41.0,91.0,125.0,E,True,True,18.0,Mastodonte
1889,Fight Night Round 4,PS3,Fighting,Electronic Arts,0.92,0.4,0.0,0.2,1.52,88.0,46.0,76.0,96.0,T,True,True,12.0,Mastodonte
1890,The Simpsons Game,PS2,Action,Electronic Arts,0.35,0.03,0.0,1.13,1.51,68.0,10.0,82.0,27.0,T,True,True,14.0,Mastodonte
1891,Battlefield: Bad Company,X360,Shooter,Electronic Arts,0.81,0.46,0.04,0.15,1.46,83.0,70.0,77.0,263.0,T,True,True,13.0,Mastodonte
1892,Hasbro Family Game Night,Wii,Puzzle,Electronic Arts,0.96,0.33,0.0,0.13,1.43,63.0,12.0,75.0,11.0,E,True,True,13.0,Mastodonte
1893,Tiger Woods PGA Tour 09 All-Play,Wii,Sports,Electronic Arts,0.8,0.47,0.0,0.14,1.42,81.0,18.0,87.0,34.0,E,True,True,13.0,Mastodonte
1894,Fight Night Round 4,X360,Fighting,Electronic Arts,0.95,0.33,0.0,0.13,1.4,87.0,76.0,81.0,86.0,T,True,True,12.0,Mastodonte
1895,Dead to Rights,PS2,Shooter,Electronic Arts,0.67,0.52,0.0,0.17,1.36,73.0,20.0,89.0,36.0,M,True,True,19.0,Mastodonte
1896,Hasbro Family Game Night 2,Wii,Misc,Electronic Arts,0.7,0.52,0.0,0.13,1.35,63.0,16.0,63.0,6.0,E,True,True,12.0,Mastodonte
1897,Samurai Warriors,PS2,Action,Electronic Arts,0.22,0.05,1.06,0.02,1.35,73.0,37.0,88.0,24.0,T,True,True,17.0,Mastodonte
1898,Battlefield: Bad Company,PS3,Shooter,Electronic Arts,0.76,0.35,0.05,0.18,1.34,84.0,50.0,81.0,205.0,T,True,True,13.0,Mastodonte
1899,Need for Speed Underground Rivals,PSP,Racing,Electronic Arts,0.69,0.37,0.02,0.24,1.32,74.0,36.0,85.0,38.0,E,True,True,16.0,Mastodonte
1900,Burnout 3: Takedown,X,Racing,Electronic Arts,0.84,0.43,0.0,0.04,1.31,94.0,76.0,72.0,139.0,T,True,True,17.0,Mastodonte
1901,EA Playground,Wii,Sports,Electronic Arts,0.68,0.47,0.0,0.13,1.29,66.0,32.0,76.0,30.0,E,True,True,14.0,Mastodonte
1902,EA Sports Active 2,Wii,Sports,Electronic Arts,0.76,0.39,0.0,0.11,1.26,79.0,8.0,81.0,22.0,E,True,True,11.0,Mastodonte
1903,NBA Live 2001,PS,Sports,Electronic Arts,0.7,0.47,0.0,0.08,1.25,86.0,10.0,80.0,6.0,E,True,True,21.0,Mastodonte
1904,Need for Speed Carbon,PS3,Racing,Electronic Arts,0.49,0.5,0.03,0.2,1.23,75.0,31.0,73.0,43.0,E10+,True,True,15.0,Mastodonte
1905,Battlefield: Hardline,XOne,Shooter,Electronic Arts,0.73,0.37,0.01,0.11,1.22,71.0,27.0,51.0,299.0,M,True,True,6.0,Mastodonte
1906,NASCAR Thunder 2003,PS2,Racing,Electronic Arts,0.6,0.46,0.0,0.16,1.22,84.0,16.0,87.0,17.0,E,True,True,19.0,Mastodonte
1907,Need for Speed Underground,GC,Racing,Electronic Arts,0.69,0.48,0.01,0.03,1.21,83.0,24.0,88.0,46.0,E,True,True,18.0,Mastodonte
1908,Boom Blox,Wii,Puzzle,Electronic Arts,0.71,0.38,0.0,0.12,1.21,85.0,61.0,86.0,105.0,E,True,True,13.0,Mastodonte
1909,NHL 2002,PS2,Sports,Electronic Arts,0.59,0.46,0.0,0.15,1.2,92.0,22.0,85.0,26.0,E,True,True,20.0,Mastodonte
1910,Ty the Tasmanian Tiger,PS2,Platform,Electronic Arts,0.57,0.45,0.0,0.15,1.17,70.0,14.0,88.0,60.0,E,True,True,19.0,Mastodonte
1911,Medal of Honor: Rising Sun,X,Shooter,Electronic Arts,0.76,0.36,0.0,0.05,1.17,65.0,23.0,58.0,28.0,T,True,True,18.0,Mastodonte
1912,Army of Two,PS3,Shooter,Electronic Arts,0.74,0.26,0.02,0.15,1.17,74.0,43.0,73.0,118.0,M,True,True,13.0,Mastodonte
1913,NASCAR Thunder 2002,PS2,Racing,Electronic Arts,0.57,0.44,0.0,0.15,1.16,85.0,17.0,85.0,22.0,E,True,True,20.0,Mastodonte
1914,Medal of Honor Heroes 2,PSP,Shooter,Electronic Arts,0.5,0.39,0.02,0.25,1.15,69.0,20.0,73.0,30.0,T,True,True,14.0,Mastodonte
1915,The Lord of the Rings: The Return of the King,X,Action,Electronic Arts,0.71,0.38,0.0,0.05,1.14,84.0,31.0,91.0,31.0,T,True,True,18.0,Mastodonte
1916,Fight Night Champion,PS3,Fighting,Electronic Arts,0.45,0.49,0.0,0.18,1.11,84.0,52.0,73.0,95.0,M,True,True,10.0,Mastodonte
1917,Rock Band,PS2,Misc,Electronic Arts,0.71,0.06,0.0,0.35,1.11,82.0,8.0,68.0,13.0,T,True,True,14.0,Mastodonte
1918,Need for Speed: ProStreet,Wii,Racing,Electronic Arts,0.53,0.45,0.0,0.12,1.1,61.0,16.0,69.0,14.0,E10+,True,True,14.0,Mastodonte
1919,Medal of Honor: Airborne,X360,Shooter,Electronic Arts,0.45,0.52,0.01,0.12,1.1,73.0,54.0,67.0,77.0,T,True,True,14.0,Mastodonte
1920,Plants vs. Zombies: Garden Warfare,X360,Shooter,Electronic Arts,0.52,0.48,0.0,0.09,1.09,69.0,6.0,73.0,122.0,E10+,True,True,7.0,Mastodonte
1921,NERF N-Strike,Wii,Shooter,Electronic Arts,0.91,0.09,0.0,0.09,1.09,66.0,13.0,44.0,7.0,E10+,True,True,13.0,Mastodonte
1922,The Godfather,PS2,Action,Electronic Arts,0.89,0.03,0.01,0.15,1.09,75.0,56.0,83.0,99.0,M,True,True,15.0,Mastodonte
1923,Skate 2,X360,Sports,Electronic Arts,0.82,0.17,0.01,0.09,1.09,84.0,70.0,79.0,73.0,T,True,True,12.0,Mastodonte
1924,NASCAR Thunder 2004,PS2,Racing,Electronic Arts,0.53,0.41,0.0,0.14,1.08,88.0,15.0,89.0,77.0,E,True,True,18.0,Mastodonte
1925,Dantes Inferno,PS3,Action,Electronic Arts,0.64,0.28,0.04,0.13,1.08,75.0,69.0,75.0,267.0,M,True,True,11.0,Mastodonte
1926,Tiger Woods PGA Tour 10,Wii,Sports,Electronic Arts,0.6,0.36,0.0,0.11,1.07,88.0,44.0,88.0,57.0,E,True,True,12.0,Mastodonte
1927,Freekstyle,PS2,Racing,Electronic Arts,0.52,0.41,0.0,0.14,1.06,81.0,25.0,73.0,14.0,E,True,True,19.0,Mastodonte
1928,Spore Creatures,DS,Simulation,Electronic Arts,0.66,0.3,0.0,0.1,1.06,65.0,20.0,65.0,21.0,E,True,True,13.0,Mastodonte
